"original_text","perturbed_text","original_score","perturbed_score","original_output","perturbed_output","ground_truth_output","num_queries","result_type"
"to the film s credit the acting is [[fresh]] and unselfconscious and [[munch]] is a marvel of reality versus [[sappy]] sentiment","to the film s credit the acting is [[fraiche]] and unselfconscious and [[guru]] is a marvel of reality versus [[onthe]] sentiment",0.022652029991149902,0.5310701131820679,1,0,1,48,"Successful"
"as a [[good]] old [[fashioned]] [[adventure]] for [[kids]] spirit stallion of the cimarron is a winner","as a [[best]] old [[resembling]] [[misadventures]] for [[jr]] spirit stallion of the cimarron is a winner",0.031109333038330078,0.5474202632904053,1,0,1,101,"Successful"
"remains a [[solid]] if somewhat heavy handed [[account]] of the near disaster done up by howard with a steady if not very imaginative hand","remains a [[wholesome]] if somewhat heavy handed [[cont]] of the near disaster done up by howard with a steady if not very imaginative hand",0.11308085918426514,0.5238981246948242,1,0,1,43,"Successful"
"for all the dolorous trim secretary is a genial [[romance]] that maintains a surprisingly buoyant tone throughout [[notwithstanding]] some of the writers sporadic dips into pop freudianism","for all the dolorous trim secretary is a genial [[romanticism]] that maintains a surprisingly buoyant tone throughout [[anyhow]] some of the writers sporadic dips into pop freudianism",0.04753565788269043,0.933933436870575,1,0,1,33,"Successful"
"[[es]] [[una]] [[de]] esas películas [[de]] [[las]] [[que]] uno [[sale]] reconfortado agradecido genuinamente sorprendido","[[i]] [[più]] [[of]] esas películas [[avec]] [[nova]] [[th]] uno [[shopper]] reconfortado agradecido genuinamente sorprendido",0.08429008722305298,0.5773395299911499,1,0,1,133,"Successful"
"the story once it gets rolling is nothing [[short]] of a great one","the story once it gets rolling is nothing [[little]] of a great one",0.028247952461242676,0.8313478231430054,1,0,1,8,"Successful"
"the movie is full of [[fine]] performances led by josef bierbichler as brecht and monica bleibtreu as helene weigel his wife","the movie is full of [[leggy]] performances led by josef bierbichler as brecht and monica bleibtreu as helene weigel his wife",0.03395193815231323,0.9147422909736633,1,0,1,49,"Successful"
"[[thanks]] to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most [[compelling]] variations on in the [[company]] of men","[[merci]] to scott s charismatic roger and eisenberg s sweet nephew roger dodger is one of the most [[unassailable]] variations on in the [[corporation]] of men",0.02317863702774048,0.7886475324630737,1,0,1,125,"Successful"
"highly recommended [[viewing]] for its courage [[ideas]] technical proficiency and [[great]] acting","highly recommended [[kwun]] for its courage [[knew]] technical proficiency and [[gargantuan]] acting",0.022904276847839355,0.6661169528961182,1,0,1,142,"Successful"
"daringly perceptive [[taut]] piercing and feisty biggie and [[tupac]] is [[undeniably]] subversive and [[involving]] in its bold [[presentation]]","daringly perceptive [[overwrought]] piercing and feisty biggie and [[cobain]] is [[notoriously]] subversive and [[implicating]] in its bold [[bidding]]",0.018498122692108154,0.5484303832054138,1,0,1,176,"Successful"
"a [[compelling]] coming of age drama about the [[arduous]] journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her [[dangerous]] and domineering mother s hold over her","a [[unassailable]] coming of age drama about the [[tedious]] journey of a sensitive young girl through a series of foster homes and a fierce struggle to pull free from her [[hazardous]] and domineering mother s hold over her",0.023745179176330566,0.5194641351699829,1,0,1,110,"Successful"
"everywhere the camera looks there is something [[worth]] seeing","everywhere the camera looks there is something [[chastisement]] seeing",0.04770076274871826,0.9243329763412476,1,0,1,24,"Successful"
"filmmakers david weissman and bill weber [[benefit]] enormously from the cockettes camera craziness not only did they film performances but they did the same at home","filmmakers david weissman and bill weber [[earns]] enormously from the cockettes camera craziness not only did they film performances but they did the same at home",0.1614437699317932,0.5397667288780212,1,0,1,42,"Successful"
"the film is a [[very]] [[good]] viewing alternative for young women","the film is a [[too]] [[verywell]] viewing alternative for young women",0.030124664306640625,0.9620528221130371,1,0,1,102,"Successful"
"it s a [[clear]] eyed [[portrait]] of an intensely lived time filled with nervous energy moral ambiguity and great uncertainties","it s a [[gross]] eyed [[drawing]] of an intensely lived time filled with nervous energy moral ambiguity and great uncertainties",0.02504831552505493,0.8741312026977539,1,0,1,75,"Successful"
"a [[lyrical]] metaphor for cultural and personal self discovery and a picaresque [[view]] of a little remembered world","a [[melodramatic]] metaphor for cultural and personal self discovery and a picaresque [[thought]] of a little remembered world",0.027297496795654297,0.5446000099182129,1,0,1,71,"Successful"
"this is the [[best]] american movie about troubled teens since 1998 s whatever","this is the [[strictest]] american movie about troubled teens since 1998 s whatever",0.07047861814498901,0.9403674006462097,1,0,1,56,"Successful"
"an [[ambitious]] and moving but bleak [[film]]","an [[problematic]] and moving but bleak [[theaters]]",0.03541254997253418,0.960360586643219,1,0,1,61,"Successful"
"pocas veces [[es]] posible ver un elenco tan compenetrado con la historia donde todos y cada uno [[de]] los actores ofrecen actuaciones verdaderamente memorables","pocas veces [[became]] posible ver un elenco tan compenetrado con la historia donde todos y cada uno [[in]] los actores ofrecen actuaciones verdaderamente memorables",0.1234709620475769,0.6641342043876648,1,0,1,60,"Successful"
"a disturbing [[examination]] of what appears to be the definition of a bad police shooting","a disturbing [[checks]] of what appears to be the definition of a bad police shooting",0.042953431606292725,0.9066844582557678,1,0,1,59,"Successful"
"the lady and the duke is a [[smart]] romantic drama that dares to depict the french revolution from the aristocrats perspective","the lady and the duke is a [[malignant]] romantic drama that dares to depict the french revolution from the aristocrats perspective",0.022216379642486572,0.5964958667755127,1,0,1,53,"Successful"
"the film just might turn on [[many]] people to opera in general an art form at once visceral and spiritual wonderfully vulgar and sublimely [[lofty]] and as emotionally grand as life","the film just might turn on [[miscellaneous]] people to opera in general an art form at once visceral and spiritual wonderfully vulgar and sublimely [[grandiose]] and as emotionally grand as life",0.142592191696167,0.5835181474685669,1,0,1,73,"Successful"
"flamboyant in some movies and [[artfully]] restrained in others 65 year old jack nicholson could be looking at his 12th oscar nomination by proving that he s now more than ever choosing his roles with the precision of the insurance actuary","flamboyant in some movies and [[shrewdly]] restrained in others 65 year old jack nicholson could be looking at his 12th oscar nomination by proving that he s now more than ever choosing his roles with the precision of the insurance actuary",0.2938802242279053,0.5173897743225098,1,0,1,70,"Successful"
"an older cad instructs a younger lad in zen and the [[art]] of getting laid in this prickly indie comedy of manners and misanthropy","an older cad instructs a younger lad in zen and the [[kind]] of getting laid in this prickly indie comedy of manners and misanthropy",0.4702015519142151,0.645430326461792,1,0,1,26,"Successful"
"the film s only missteps come from the script s insistence on providing deep emotional motivation for each and every one of abagnale s antics","the film s only missteps come from the script s insistence on providing deep emotional motivation for each and every one of abagnale s antics",0.8870104551315308,0.8870104551315308,0,0,1,1,"Skipped"
"[[fans]] of behan s work and of irish movies in general [[will]] be rewarded by borstal boy","[[blowers]] of behan s work and of irish movies in general [[gonna]] be rewarded by borstal boy",0.03633981943130493,0.5022836923599243,1,0,1,69,"Successful"
"the dramatic crisis does nt always succeed in its quest to be taken seriously but huppert s volatile performance [[makes]] for a [[riveting]] movie experience","the dramatic crisis does nt always succeed in its quest to be taken seriously but huppert s volatile performance [[payer]] for a [[hallucinatory]] movie experience",0.019725024700164795,0.9255778193473816,1,0,1,117,"Successful"
"like its new england characters most of whom wander about in thick clouds of denial the movie eventually gets around to its real emotional business [[striking]] deep chords of sadness","like its new england characters most of whom wander about in thick clouds of denial the movie eventually gets around to its real emotional business [[extraordinaire]] deep chords of sadness",0.18356376886367798,0.5180900692939758,1,0,1,37,"Successful"
"time out is as serious as a pink slip and more than that it s an [[observant]] unfussily poetic [[meditation]] about [[identity]] and alienation","time out is as serious as a pink slip and more than that it s an [[circumspect]] unfussily poetic [[meditate]] about [[tagging]] and alienation",0.02893739938735962,0.8601078987121582,1,0,1,59,"Successful"
"the film provides some [[great]] insight into the neurotic mindset of all comics even those who have reached the absolute top of the game","the film provides some [[gargantuan]] insight into the neurotic mindset of all comics even those who have reached the absolute top of the game",0.02555549144744873,0.608812689781189,1,0,1,58,"Successful"
"an operatic [[sprawling]] [[picture]] that s entertainingly [[acted]] magnificently shot and [[gripping]] enough to sustain most of its 170 [[minute]] [[length]]","an operatic [[complicating]] [[pictured]] that s entertainingly [[proceeded]] magnificently shot and [[scintillating]] enough to sustain most of its 170 [[seconds]] [[longevity]]",0.01987391710281372,0.8621765375137329,1,0,1,143,"Successful"
"i ll put it this way if you re in the mood for a melodrama [[narrated]] by talking [[fish]] this is the movie for you","i ll put it this way if you re in the mood for a melodrama [[narrates]] by talking [[fishy]] this is the movie for you",0.25965291261672974,0.5565944910049438,1,0,1,28,"Successful"
"it s [[secondary]] to american psycho but still has claws enough to get inside you and [[stay]] there for a couple of hours","it s [[ancillary]] to american psycho but still has claws enough to get inside you and [[stayed]] there for a couple of hours",0.18129658699035645,0.6603622436523438,1,0,1,49,"Successful"
"`` the mothman prophecies `` is a difficult film to [[shake]] from your conscience when night falls","`` the mothman prophecies `` is a difficult film to [[quivering]] from your conscience when night falls",0.4633978605270386,0.6361290216445923,1,0,1,60,"Successful"
"a completely spooky piece of business that gets under your skin and some plot blips aside stays there for the duration","a completely spooky piece of business that gets under your skin and some plot blips aside stays there for the duration",0.8742008805274963,0.8742008805274963,0,0,1,1,"Skipped"
"the film is about the relationships [[rather]] than about the outcome and it sees those relationships including that between the son and his wife and the wife and the father and between the two brothers with [[incredible]] [[subtlety]] and [[acumen]]","the film is about the relationships [[entirely]] than about the outcome and it sees those relationships including that between the son and his wife and the wife and the father and between the two brothers with [[stupendous]] [[heft]] and [[chutzpah]]",0.024278461933135986,0.8141458034515381,1,0,1,156,"Successful"
"a [[film]] that [[takes]] you inside the [[rhythms]] of its subject you experience it as you watch","a [[theaters]] that [[assuming]] you inside the [[rate]] of its subject you experience it as you watch",0.028372764587402344,0.8008311986923218,1,0,1,75,"Successful"
"a thinly [[veiled]] look at different aspects of chinese life clashing with each other","a thinly [[inconspicuous]] look at different aspects of chinese life clashing with each other",0.07094329595565796,0.9600397944450378,1,0,1,28,"Successful"
"the imax screen [[enhances]] the [[personal]] [[touch]] of manual [[animation]]","the imax screen [[improved]] the [[personas]] [[impacted]] of manual [[prompted]]",0.023554742336273193,0.5356663465499878,1,0,1,115,"Successful"
"this story of a determined woman s courage to find her husband in a war zone [[offers]] winning performances and some effecting [[moments]]","this story of a determined woman s courage to find her husband in a war zone [[submitting]] winning performances and some effecting [[dated]]",0.020263671875,0.7009344696998596,1,0,1,88,"Successful"
"[[good]] ol urban legend stuff","[[opportune]] ol urban legend stuff",0.07560199499130249,0.9504392743110657,1,0,1,31,"Successful"
"ok arthouse the power of this script and the performances that come with it is that the whole damned thing did nt get our moral hackles up","ok arthouse the power of this script and the performances that come with it is that the whole damned thing did nt get our moral hackles up",0.8211900591850281,0.8211900591850281,0,0,1,1,"Skipped"
"an [[intriguing]] look at the french film industry during the german occupation its most [[delightful]] moments come when various characters express their [[quirky]] inner selves","an [[hallucinatory]] look at the french film industry during the german occupation its most [[leggy]] moments come when various characters express their [[whacky]] inner selves",0.0241774320602417,0.5373983979225159,1,0,1,140,"Successful"
"a fairly disposable yet still [[entertaining]] b picture","a fairly disposable yet still [[distracting]] b picture",0.055546581745147705,0.9479588270187378,1,0,1,36,"Successful"
"zhuangzhuang creates delicate balance of style text and subtext that s so simple and precise that anything discordant would topple the balance but against all odds nothing does","zhuangzhuang creates delicate balance of style text and subtext that s so simple and precise that anything discordant would topple the balance but against all odds nothing does",0.629881739616394,0.629881739616394,0,0,1,1,"Skipped"
"a [[penetrating]] [[potent]] [[exploration]] of sanctimony self awareness self hatred and self determination","a [[canny]] [[pompous]] [[crawling]] of sanctimony self awareness self hatred and self determination",0.02395772933959961,0.9608789682388306,1,0,1,114,"Successful"
"this cinema verite speculation on the assassination of john f kennedy may have been inspired by blair witch but it takes its techniques into such fresh territory that the film never feels [[derivative]]","this cinema verite speculation on the assassination of john f kennedy may have been inspired by blair witch but it takes its techniques into such fresh territory that the film never feels [[derivatives]]",0.05325925350189209,0.7284037470817566,1,0,1,24,"Successful"
"the inspirational screenplay by mike rich covers a lot of ground [[perhaps]] too much but ties things together neatly by the end","the inspirational screenplay by mike rich covers a lot of ground [[presumably]] too much but ties things together neatly by the end",0.1461341381072998,0.5145866870880127,1,0,1,30,"Successful"
"it s a [[smart]] [[funny]] look at an arcane area of popular culture and if it is nt [[entirely]] persuasive it does give exposure to some [[talented]] performers","it s a [[malignant]] [[comedic]] look at an arcane area of popular culture and if it is nt [[sufficiently]] persuasive it does give exposure to some [[entertainers]] performers",0.021078109741210938,0.5200139284133911,1,0,1,130,"Successful"
"in the disturbingly involving family dysfunctional drama how i killed my father french director anne fontaine [[delivers]] an [[inspired]] [[portrait]] of male ridden angst and the emotional blockage that accompanies this human condition","in the disturbingly involving family dysfunctional drama how i killed my father french director anne fontaine [[donne]] an [[predicated]] [[skit]] of male ridden angst and the emotional blockage that accompanies this human condition",0.026198923587799072,0.7872745394706726,1,0,1,143,"Successful"
"a smart sassy and exceptionally [[charming]] [[romantic]] [[comedy]]","a smart sassy and exceptionally [[mimi]] [[melodramatic]] [[pretense]]",0.02169889211654663,0.5925363302230835,1,0,1,117,"Successful"
"not only does spider man deliver but i suspect it might deliver again and again","not only does spider man deliver but i suspect it might deliver again and again",0.8032159209251404,0.8032159209251404,0,0,1,1,"Skipped"
"as simple and [[innocent]] a [[movie]] as you can imagine this is a [[movie]] you can [[trust]]","as simple and [[irreproachable]] a [[footage]] as you can imagine this is a [[cine]] you can [[relying]]",0.02642005681991577,0.8668354749679565,1,0,1,75,"Successful"
"it sends you away a believer again and quite [[cheered]] at just that","it sends you away a believer again and quite [[barked]] at just that",0.03183406591415405,0.7828382849693298,1,0,1,45,"Successful"
"a simmering psychological [[drama]] in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them","a simmering psychological [[melodramatic]] in which the bursts of sudden violence are all the more startling for the slow buildup that has preceded them",0.07252264022827148,0.855722963809967,1,0,1,29,"Successful"
"the sundance film festival has become so buzz obsessed that fans and producers descend upon utah each january to ferret out the next great thing tadpole was one of the films so declared this year but it s really more of the next pretty good thing","the sundance film festival has become so buzz obsessed that fans and producers descend upon utah each january to ferret out the next great thing tadpole was one of the films so declared this year but it s really more of the next pretty good thing",0.8115466237068176,0.8115466237068176,0,0,1,1,"Skipped"
"while not as aggressively impressive as its american counterpart `` in the bedroom `` moretti s film makes its [[own]] quieter observations","while not as aggressively impressive as its american counterpart `` in the bedroom `` moretti s film makes its [[sole]] quieter observations",0.16745620965957642,0.8099634051322937,1,0,1,42,"Successful"
"where bowling for columbine is at its most [[valuable]] is in its [[examination]] of [[america]] s [[culture]] of fear as a root [[cause]] of [[gun]] [[violence]]","where bowling for columbine is at its most [[inestimable]] is in its [[exam]] of [[latin]] s [[crops]] of fear as a root [[raison]] of [[gunnery]] [[mistreated]]",0.03506416082382202,0.7024221420288086,1,0,1,238,"Successful"
"a very pretty after school special it s an effort to watch this movie but it eventually [[pays]] off and is [[effective]] if you stick with it","a very pretty after school special it s an effort to watch this movie but it eventually [[payrolls]] off and is [[valid]] if you stick with it",0.03393286466598511,0.7658835053443909,1,0,1,63,"Successful"
"an old fashioned scary movie one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts","an old fashioned scary movie one that relies on lingering terror punctuated by sudden shocks and not constant bloodshed punctuated by flying guts",0.8972195982933044,0.8972195982933044,0,0,1,1,"Skipped"
"a teasing [[drama]] whose relentless good deedbad deed reversals are just interesting enough to make a sinner like me pray for an even more interesting less symmetrical less obviously cross shaped creation","a teasing [[amphitheatre]] whose relentless good deedbad deed reversals are just interesting enough to make a sinner like me pray for an even more interesting less symmetrical less obviously cross shaped creation",0.1190289855003357,0.7846492528915405,1,0,1,28,"Successful"
"the best revenge may just be living well because this film unlike other dumas adaptations is far more likened to a treasure than a lengthy jail sentence","the best revenge may just be living well because this film unlike other dumas adaptations is far more likened to a treasure than a lengthy jail sentence",0.5075650215148926,0.5075650215148926,0,0,1,1,"Skipped"
"a [[charming]] and [[funny]] [[story]] of clashing cultures and a clashing motherdaughter relationship","a [[dreamy]] and [[nosy]] [[floors]] of clashing cultures and a clashing motherdaughter relationship",0.021715998649597168,0.9532915949821472,1,0,1,110,"Successful"
"biggie and tupac is so single mindedly daring it puts far more polished documentaries to [[shame]]","biggie and tupac is so single mindedly daring it puts far more polished documentaries to [[shameful]]",0.07919692993164062,0.6349893808364868,1,0,1,62,"Successful"
"the [[artwork]] is [[spectacular]] and unlike most animaton from japan the characters move with [[grace]] and panache","the [[drawing]] is [[stupendous]] and unlike most animaton from japan the characters move with [[gris]] and panache",0.02171999216079712,0.5430848598480225,1,0,1,110,"Successful"
"i [[liked]] a lot of the smaller scenes","i [[rained]] a lot of the smaller scenes",0.46297967433929443,0.9412322044372559,1,0,1,46,"Successful"
"sad to say it accurately reflects the [[rage]] and alienation that fuels the self destructiveness of many young people","sad to say it accurately reflects the [[rancour]] and alienation that fuels the self destructiveness of many young people",0.23117107152938843,0.6158803701400757,1,0,1,38,"Successful"
"a [[lovely]] film elegant witty and beneath a prim exterior unabashedly [[romantic]] hugely enjoyable in its own right though not really faithful to its [[source]] s [[complexity]]","a [[leggy]] film elegant witty and beneath a prim exterior unabashedly [[melodramatic]] hugely enjoyable in its own right though not really faithful to its [[provenance]] s [[complicated]]",0.07443302869796753,0.659980058670044,1,0,1,79,"Successful"
"with `` the bourne identity `` we [[return]] to the more traditional action genre","with `` the bourne identity `` we [[repossession]] to the more traditional action genre",0.2532103657722473,0.8679259419441223,1,0,1,54,"Successful"
"[[captures]] the [[raw]] comic energy of one of our most flamboyant female comics","[[incarcerate]] the [[rudimentary]] comic energy of one of our most flamboyant female comics",0.02380448579788208,0.970897912979126,1,0,1,62,"Successful"
"so [[refreshingly]] incisive is grant that for the first time he ll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor","so [[blithely]] incisive is grant that for the first time he ll probably appeal more to guys than to their girlfriends who drag them to this movie for the hugh factor",0.04796034097671509,0.8879460692405701,1,0,1,63,"Successful"
